movie_rank,movie_name,movie_year,movie_rating,summary
181,Bacheha-Ye aseman,1997,8.2,after boy loses his sisters pair shoes he goes series adventures order find them when he cant he tries new way win new pair
182,12 Years a Slave,2013,8.1,antebellum united states solomon northup free black man upstate new york abducted sold into slavery
183,Blade Runner,1982,8.1,blade runner must pursue terminate four replicants who stole ship space have returned earth find creator
184,Before Sunrise,1995,8.1,young man woman meet train europe wind up spending one evening together vienna unfortunately both know probably only night together
185,Ben-Hur,1959,8.1,after jewish prince betrayed sent into slavery roman friend stcentury jerusalem he regains his freedom comes back revenge
186,Barry Lyndon,1975,8.1,irish rogue wins heart rich widow assumes her dead husbands aristocratic position thcentury england
187,The Grand Budapest Hotel,2014,8.1,writer encounters owner aging highclass hotel who tells him his early years serving lobby boy hotels glorious years under exceptional concierge
188,Gone Girl,2014,8.1,his wifes disappearance having become focus intense media circus man sees spotlight turned him when its suspected he may innocent
189,Hacksaw Ridge,2016,8.1,world war ii american army medic desmond t doss serving during battle okinawa refuses kill people becomes first man american history receive medal honor without firing shot
190,The Gold Rush,1925,8.1,prospector goes klondike during s gold rush hopes making his fortune smitten girl he sees dance hall
191,Salinui chueok,2003,8.1,small korean province two detectives struggle case multiple young women being found raped murdered unknown culprit
192,In the Name of the Father,1993,8.1,irish mans coerced confession ira bombing he did commit results imprisonment his father well meanwhile british lawyer fights clear names free them
193,Dead Poets Society,1989,8.1,maverick teacher john keating returns prestigious new england boys boarding school where he once star student using poetry embolden his pupils new heights selfexpression
194,Mad Max: Fury Road,2015,8.1,postapocalyptic wasteland woman rebels against tyrannical ruler search her homeland aid group female prisoners psychotic worshiper drifter named max
195,Relatos salvajes,2014,8.1,six short stories explore extremities human behavior involving people distress
196,The General,1926,8.1,after being rejected confederate military realizing due his crucial civilian role engineer must singlehandedly recapture his beloved locomotive after seized union spies return through enemy lines
197,The Deer Hunter,1978,8.1,indepth examination ways vietnam war impacts disrupts lives several friends small steel mill town pennsylvania
198,On the Waterfront,1954,8.1,exprize fighter turned new jersey longshoreman struggles stand up his corrupt union bosses including his older brother he starts connect grieving sister one syndicates victims
199,"Monsters, Inc.",2001,8.1,order power city monsters have scare children so they scream however children toxic monsters after child gets through two monsters realize things may they think
200,Sherlock Jr.,1924,8.2,film projectionist longs detective puts his meagre skills work when he framed rival stealing his girlfriends fathers pocketwatch
201,Jaws,1975,8.1,when killer shark unleashes chaos beach community off cape cod its up local sheriff marine biologist old seafarer hunt beast down
202,How to Train Your Dragon,2010,8.1,hapless young viking who aspires hunt dragons becomes unlikely friend young dragon himself learns may more creatures than he assumed
203,The Third Man,1949,8.1,pulp novelist holly martins travels shadowy postwar vienna only find himself investigating mysterious death old friend harry lime
204,Le salaire de la peur,1953,8.2,decrepit south american village four men hired transport urgent nitroglycerine shipment without equipment make safe
205,Smultronst�llet,1957,8.1,after living life marked coldness aging professor forced confront emptiness his existence
206,Mary and Max.,2009,8.1,melbourne lonely yearold girl strikes up correspondence unlikely pen pal severely obese yearold new yorker aspergers syndrome
207,Mr. Smith Goes to Washington,1939,8.1,naive youth leader appointed fill vacancy us senate his idealistic plans promptly collide corruption home subterfuge his hero washington he tries forge ahead despite attacks his character
208,Ratatouille,2007,8.1,rat who cook makes unusual alliance young kitchen worker famous paris restaurant
